Pos.,Jogador,Equipe,JO,Min,EF,PTS,RT,AS,BR,TO,ER
25,Miller #33,Corinthians,32,27.28,13.97,11.97,4.38,1.84,1.06,0.59,1.78
26,Batista #13,Minas,32,22.65,13.97,12.09,5.94,1.69,0.28,0.47,2.03
27,Bennett #3,São Paulo,31,30.64,13.94,10.87,2.71,3.26,1.29,0.03,1.29
28,Maique #35,Paulistano,32,24.17,13.78,9.5,7.16,0.75,0.56,0.81,1.19
29,Nesbitt #25,Minas,29,25.94,13.69,10.69,5.69,1.69,0.86,0.31,1.21
30,Hettsheimeir #30,Flamengo,32,21.14,13.5,13.06,5.41,1.22,0.5,0.28,1.84
31,Tyrone Curnell #0,Bauru,35,28.26,13.4,12.86,5.51,1.69,0.97,0.4,1.8
32,Cook #55,VipTech CMB,23,30.72,13.26,18.7,2.78,2.17,0.83,0.13,2.48
33,Marquinhos #11,Flamengo,26,24.13,13.12,13.38,4.73,2.35,0.62,0.12,1.54
34,Ruivo #4,Paulistano,33,28.75,13.03,11.82,2.76,3.82,1.06,0.0,1.45
35,Eddy #33,KTO/Caxias do Sul,31,33.75,12.84,12.97,4.9,2.52,1.0,0.19,1.45
36,Coelho #10,Cerrado Basquete,15,26.07,12.73,12.47,2.73,4.6,1.33,0.07,2.53
37,Green #44,Sesi Franca,17,24.85,12.65,12.41,2.82,2.0,0.76,0.06,1.35
38,Fuller #14,Cerrado Basquete,13,31.74,12.54,15.23,4.15,3.23,0.62,0.15,2.15
39,Cauê #8,Paulistano,19,27.07,12.42,12.89,2.68,3.89,1.58,0.32,2.84
40,Pierotti #4,VipTech CMB,20,31.97,12.15,13.95,4.05,4.9,0.8,0.05,2.25
41,Martinez #25,Flamengo,17,19.08,12.12,9.53,3.41,2.12,1.24,0.29,0.71
42,Betinho #26,UNIFACISA,33,26.08,12.09,13.0,2.76,3.36,1.42,0.15,1.88
43,Matheusinho #9,Pato Basquete,30,25.22,12.07,11.83,3.47,4.4,1.67,0.1,2.57
44,Shilton #66,KTO/Caxias do Sul,26,29.26,12.0,8.54,7.58,1.5,0.58,0.15,1.77
45,Siewert #25,Corinthians,26,25.61,12.0,11.5,5.5,0.92,0.54,0.54,0.92
46,Parodi #21,Minas,22,21.94,11.86,10.91,2.95,4.59,1.41,0.05,2.23
47,Da Silva #7,KTO/Caxias do Sul,29,23.63,11.86,12.03,5.38,0.86,0.93,0.21,2.07
48,Paranhos #24,UNIFACISA,25,23.88,11.8,9.44,7.72,0.92,0.64,0.44,2.24
49,D. Nunes #24,Cerrado Basquete,28,27.44,11.61,9.57,4.79,1.79,0.54,0.25,1.0
50,Paulo #7,Cerrado Basquete,27,26.87,11.56,11.78,4.74,1.19,1.3,0.19,1.37
51,Felipe #33,Fortaleza B. C.,20,27.35,11.55,11.6,5.35,1.1,1.1,0.2,0.9
52,Balbi #6,Flamengo,25,23.45,11.44,8.0,3.52,5.16,1.08,0.04,1.88
53,Nico #22,KTO/Caxias do Sul,25,31.02,11.36,11.04,2.36,3.72,0.48,0.08,1.48
54,Demétrio #71,Flamengo,30,19.76,11.23,8.43,4.97,1.2,0.77,0.4,0.5
55,Lucão #31,VipTech CMB,30,20.23,11.17,8.67,6.07,0.97,0.2,0.17,1.33
56,Arthur #36,Corinthians,28,22.72,11.14,8.64,5.54,1.29,0.89,0.25,1.25
57,Scheuer #14,Pato Basquete,32,23.94,11.09,8.88,5.69,0.84,0.66,0.44,1.16
58,Gabriel Jaú #25,Bauru,31,19.33,11.06,8.42,6.03,0.94,0.65,0.29,1.65
59,I. Thornton #0,Pato Basquete,28,31.7,11.04,15.82,3.57,2.21,0.86,0.04,1.18
60,Renan #44,São Paulo,29,23.5,11.0,9.52,4.93,0.9,0.62,0.79,1.07
61,Nehemias #7,UNIFACISA,33,22.65,10.82,12.0,3.52,2.36,0.91,0.12,2.03
62,Gui Santos #11,Minas,32,20.94,10.72,8.34,5.44,1.63,0.59,0.84,1.81
63,Fuzaro #6,Sesi Franca,34,27.15,10.65,10.71,3.24,1.85,1.06,0.21,1.82
64,Mineiro #12,Flamengo,30,24.38,10.63,8.63,4.4,1.87,0.8,0.37,1.07
65,Chuzito #8,Flamengo,27,24.32,10.59,12.3,2.3,2.0,0.93,0.04,1.44
66,Du Sommer #17,Paulistano,13,24.7,10.54,11.08,4.46,1.15,0.92,0.31,0.92
67,Munford #14,Pinheiros,26,24.06,10.54,9.08,5.0,1.0,0.77,0.19,0.58
68,Caio Torres #13,BRB/Brasília,28,23.42,10.39,9.39,5.86,0.79,0.39,0.32,1.46
69,Crescenzi #8,Cerrado Basquete,30,20.33,10.23,9.3,3.57,1.8,1.1,0.2,1.0
70,Laster #14,BRB/Brasília,28,28.02,10.14,11.71,4.5,0.96,0.68,0.14,1.07
71,Rafa #16,UNIFACISA,33,20.01,10.09,7.76,4.15,0.82,0.85,0.12,0.85
72,M. Pajé #25,VipTech CMB,30,22.68,9.97,7.1,5.0,1.93,0.77,0.33,0.73
73,Gabriel #2,Pinheiros,30,25.15,9.93,11.8,2.77,3.83,1.03,0.1,2.9
74,Davi #5,Minas,32,24.87,9.84,8.41,3.22,3.69,0.78,0.06,1.91
75,Vitão #10,Paulistano,30,25.01,9.83,9.23,5.53,1.1,0.7,0.03,1.13
76,Pastor #9,UNIFACISA,33,21.27,9.79,8.21,4.36,0.91,0.82,0.15,1.12
77,Coleman #9,Mogi,28,29.37,9.79,14.0,3.07,1.18,0.75,0.11,1.79
78,Smith #10,Sesi Franca,17,24.34,9.76,9.47,2.18,2.65,0.71,0.0,1.59
79,Fabricio #10,Mogi,35,26.16,9.6,8.91,4.17,1.86,0.54,0.14,0.89
80,Diego #15,Bauru,34,19.89,9.59,7.24,4.09,1.41,0.82,0.59,1.26
81,Douglas Santos #0,Mogi,29,19.68,9.52,7.66,3.93,1.34,0.69,0.48,1.31
