Pos.,Jogador,Equipe,JO,Min,BR,ER,B/E
57,Sena #7,Pinheiros,21,15.12,0.86,1.0,0.86
58,I. Thornton #0,Pato Basquete,28,31.7,0.86,1.18,0.73
59,Rafa #16,UNIFACISA,33,20.01,0.85,0.85,1.0
60,Pecos #23,UNIFACISA,33,18.38,0.85,1.12,0.76
61,Vezaro #10,UNIFACISA,33,18.98,0.85,0.61,1.4
62,Lucas Mariano #28,São Paulo,30,29.09,0.83,1.7,0.49
63,Funches III #1,Pato Basquete,29,24.03,0.83,2.0,0.41
64,Cook #55,VipTech CMB,23,30.72,0.83,2.48,0.33
65,Diego #15,Bauru,34,19.89,0.82,1.26,0.65
66,Pastor #9,UNIFACISA,33,21.27,0.82,1.12,0.73
67,Fuller #2,Corinthians,31,32.99,0.81,1.9,0.42
68,Camargo #13,Flamengo,5,6.72,0.8,1.6,0.5
69,Arthur #4,BRB/Brasília,20,22.87,0.8,1.1,0.73
70,Pierotti #4,VipTech CMB,20,31.97,0.8,2.25,0.36
71,Johnson Sr #22,Minas,30,26.5,0.8,1.4,0.57
72,Mineiro #12,Flamengo,30,24.38,0.8,1.07,0.75
73,Larry Taylor #4,Bauru,35,22.94,0.8,0.71,1.12
74,Pedro #9,KTO/Caxias do Sul,32,21.34,0.78,1.5,0.52
75,Davi #5,Minas,32,24.87,0.78,1.91,0.41
76,Lucas #10,Pato Basquete,27,22.34,0.78,1.78,0.44
77,Munford #14,Pinheiros,26,24.06,0.77,0.58,1.33
78,M. Pajé #25,VipTech CMB,30,22.68,0.77,0.73,1.05
79,Demétrio #71,Flamengo,30,19.76,0.77,0.5,1.53
80,Green #44,Sesi Franca,17,24.85,0.76,1.35,0.57
81,Servelin #3,Pato Basquete,29,19.62,0.76,0.86,0.88
82,P. Rava #7,BRB/Brasília,24,23.08,0.75,1.17,0.64
83,Coleman #9,Mogi,28,29.37,0.75,1.79,0.42
84,Rashaun #17,Fortaleza B. C.,30,23.92,0.73,1.27,0.58
85,Olivinha #16,Flamengo,26,21.39,0.73,1.04,0.7
86,Jefferson #11,São Paulo,29,19.91,0.72,1.21,0.6
87,Smith #10,Sesi Franca,17,24.34,0.71,1.59,0.44
88,Vitão #10,Paulistano,30,25.01,0.7,1.13,0.62
89,Buffat #9,Pinheiros,23,23.39,0.7,1.65,0.42
90,Alex #13,Cerrado Basquete,26,15.25,0.69,1.0,0.69
91,Castellon #8,VipTech CMB,29,19.6,0.69,0.66,1.05
92,Douglas Santos #0,Mogi,29,19.68,0.69,1.31,0.53
93,Laster #14,BRB/Brasília,28,28.02,0.68,1.07,0.63
94,J. Socas #54,BRB/Brasília,3,18.72,0.67,2.0,0.33
95,Scheuer #14,Pato Basquete,32,23.94,0.66,1.16,0.57
96,Barbosa #32,Paulistano,29,17.2,0.66,0.59,1.12
97,Gruber #20,Mogi,34,21.68,0.65,1.44,0.45
98,Gabriel Jaú #25,Bauru,31,19.33,0.65,1.65,0.39
99,Paranhos #24,UNIFACISA,25,23.88,0.64,2.24,0.29
100,L. Brito #6,VipTech CMB,11,6.3,0.64,0.82,0.78
101,Jimmy #18,Paulistano,33,25.29,0.64,1.09,0.58
102,Mathias #12,Fortaleza B. C.,30,25.63,0.63,2.07,0.31
103,Luizinho #11,VipTech CMB,30,19.61,0.63,1.8,0.35
104,Dikembe #20,Bauru,35,13.64,0.63,0.83,0.76
105,Capela #5,Pinheiros,8,13.3,0.63,1.38,0.45
106,Renan #44,São Paulo,29,23.5,0.62,1.07,0.58
107,Fuller #14,Cerrado Basquete,13,31.74,0.62,2.15,0.29
108,Marquinhos #11,Flamengo,26,24.13,0.62,1.54,0.4
