Jogador,Posicao,Equipe
João Pedro #16,Pivô,Bauru
Maciel #34,Ala/Pivô,Flamengo
Dalaqua #8,Armador,Corinthians
L. Brito #6,Ala/Armador,VipTech CMB
Kirsten #11,Ala,Pato Basquete
Vinícius #3,Armador,Paulistano
Rubinho #15,Pivô,KTO/Caxias do Sul
J V Vieira #90,Armador,Cerrado Basquete
Ludwig #14,Pivô,Corinthians
Dias #31,Ala/Pivô,Minas
Ianguas #20,Pivô,Paulistano
Gabriel #7,Ala,Fortaleza B. C.
Igor #20,Armador,São Paulo
D. Penteado #12,Ala,São Paulo
Augusto #46,Pivô,Minas
Derick #8,Ala,Pato Basquete
Adriano Big #4,Pivô,KTO/Caxias do Sul
Santana #34,Ala,Pinheiros
André #23,Pivô,Paulistano
Emanuel Matias #11,Ala/Pivô,Bauru
Dida #41,Pivô,KTO/Caxias do Sul
Felipe #11,Ala/Pivô,BRB/Brasília
Rafael #12,Pivô,Paulistano
Felipe #16,Pivô,Mogi
Ribeiro #12,Ala,Minas
Cristhyã #41,Armador,Flamengo
L. Muller #10,Ala/Armador,VipTech CMB
Buiú #14,Armador,Paulistano
Beto #5,Armador,Paulistano
Lukas Josuel #12,Pivô,Bauru
Rapha #1,Armador,VipTech CMB
Vitor #7,Ala,Sesi Franca
P. Costa #1,Ala/Armador,BRB/Brasília
Daniel #0,Ala,Paulistano
C. Gonçalves #21,Armador,São Paulo
Du Klafke #14,Ala,Sesi Franca
Reynan #29,Ala/Armador,Sesi Franca
P. Barros #21,Pivô,BRB/Brasília
Cestari #22,Ala,Corinthians
Ziggy #14,Armador,Mogi
Victorino #21,Ala,Paulistano
Duarte #17,Ala,Cerrado Basquete
Wander Broock #26,Ala/Armador,VipTech CMB
Cadu #10,Ala,BRB/Brasília
Victor #3,Ala,Corinthians
Elvis F. #17,Ala/Armador,Pinheiros
Marco #10,Ala/Armador,KTO/Caxias do Sul
Léo Abreu #13,Ala,Sesi Franca
Pedro Silva #6,Armador,Mogi
Murilo #5,Armador,Pato Basquete
