Jogador,Equipe,JO,Min,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,AS,ER,IA%,BR,B/E,Pts,3P,2P,LL,EF,RT,TO,DD,TD,ET,VI,RO,RD,FC,T/FC,Posicao,camisa
Vezarinho,Corinthians,27,9.04,2.7,0.37,1.26,29.41,0.59,1.41,42.11,0.41,0.52,78.57,0.0,0.7,0.48,1.46,0.3,0.62,2.7,1.11,1.19,0.41,2.48,1.04,0.04,0.0,0.0,0.48,0.11,0.19,0.85,0.78,0.05,Ala/Armador,#10
Danilo,BRB/Brasília,19,10.22,2.58,0.26,0.68,38.46,0.47,0.95,50.0,0.84,1.16,72.73,0.0,0.42,0.89,0.47,0.32,0.35,2.58,0.79,0.95,0.84,2.58,1.37,0.0,0.0,0.0,0.89,0.21,0.47,0.89,0.37,0.0,Ala,#17
M. Douglas,Pinheiros,26,10.06,2.54,0.08,0.46,16.67,1.04,3.04,34.18,0.23,0.58,40.0,0.31,0.08,0.46,0.17,0.27,0.58,2.54,0.23,2.08,0.23,2.58,2.58,0.31,0.0,0.0,0.46,0.08,0.81,1.77,1.08,0.29,Pivô,#13
Alexandrino,UNIFACISA,19,12.32,2.42,0.0,0.0,0.0,1.0,1.89,52.78,0.42,0.84,50.0,0.05,0.37,0.42,0.88,0.26,0.63,2.42,0.0,2.0,0.42,3.79,2.26,0.21,0.0,0.0,0.42,0.21,1.05,1.21,2.58,0.08,Pivô,#13
Ruan,Flamengo,9,5.69,2.33,0.0,0.0,0.0,0.89,1.78,50.0,0.56,1.33,41.67,0.22,0.22,0.0,1.0,0.11,1.0,2.33,0.0,1.78,0.56,3.22,2.22,0.0,0.0,0.0,0.0,0.0,1.56,0.67,0.44,0.0,Ala/Pivô,#9
Luis,Cerrado Basquete,18,7.99,2.28,0.5,1.56,32.14,0.22,0.83,26.67,0.33,0.44,75.0,0.0,0.67,0.33,2.0,0.22,0.67,2.28,1.5,0.44,0.33,1.56,0.5,0.0,0.0,0.0,0.33,0.06,0.11,0.39,0.72,0.0,Armador,#9
Edu Marília,Sesi Franca,25,5.57,2.12,0.16,0.36,44.44,0.72,1.2,60.0,0.2,0.44,45.45,0.24,0.28,0.44,0.64,0.12,0.27,2.12,0.48,1.44,0.2,2.36,1.12,0.08,0.0,0.0,0.44,0.08,0.16,0.96,1.08,0.07,Ala/Pivô,#11
Lobo,Fortaleza B. C.,16,5.26,2.06,0.44,1.06,41.18,0.13,0.44,28.57,0.5,0.69,72.73,0.06,0.19,0.63,0.3,0.31,0.5,2.06,1.31,0.25,0.5,1.31,0.5,0.0,0.0,0.0,0.63,0.13,0.06,0.44,0.63,0.0,Armador,#9
Varejão,VipTech CMB,4,1.74,2.0,0.0,0.0,0.0,0.75,1.25,60.0,0.5,0.75,66.67,0.0,0.0,0.25,0.0,0.0,0.0,2.0,0.0,1.5,0.5,1.75,0.75,0.0,0.0,0.0,0.25,0.0,0.5,0.25,0.25,0.0,Pivô,#50
Colina,Mogi,10,4.67,2.0,0.4,1.0,40.0,0.2,0.4,50.0,0.4,0.4,100.0,0.0,0.2,0.2,1.0,0.2,1.0,2.0,1.2,0.4,0.4,2.1,0.7,0.0,0.0,0.0,0.2,0.0,0.0,0.7,1.1,0.0,Ala,#8
Lassance,Fortaleza B. C.,16,8.62,2.0,0.25,0.63,40.0,0.56,1.5,37.5,0.13,0.13,100.0,0.06,1.19,0.25,4.75,0.31,1.25,2.0,0.75,1.13,0.13,2.88,0.94,0.0,0.0,0.0,0.25,0.06,0.06,0.88,0.69,0.0,Armador,#24
Nathan,Sesi Franca,6,3.2,1.83,0.5,0.67,75.0,0.0,0.17,0.0,0.33,0.33,100.0,0.0,0.17,0.17,1.0,0.17,1.0,1.83,1.5,0.0,0.33,2.33,0.67,0.0,0.0,0.0,0.17,0.0,0.33,0.33,0.33,0.0,Ala/Pivô,#43
Djalo,Corinthians,11,5.29,1.82,0.09,0.36,25.0,0.64,1.0,63.64,0.27,1.09,25.0,0.27,0.0,0.18,0.0,0.27,1.5,1.82,0.27,1.27,0.27,1.82,1.27,0.09,0.0,0.0,0.18,0.0,0.64,0.64,0.45,0.2,Ala/Pivô,#35
Alexei Patrício,Bauru,25,7.03,1.76,0.32,0.64,50.0,0.24,0.76,31.58,0.32,0.48,66.67,0.0,0.4,0.48,0.83,0.24,0.5,1.76,0.96,0.48,0.32,1.68,0.76,0.0,0.0,0.0,0.48,0.08,0.12,0.64,1.12,0.0,Armador,#3
R. Stabile,KTO/Caxias do Sul,29,7.54,1.72,0.21,1.03,20.0,0.34,0.69,50.0,0.41,0.59,70.59,0.0,0.41,0.55,0.75,0.1,0.19,1.72,0.62,0.69,0.41,1.69,1.28,0.07,0.0,0.0,0.55,0.03,0.14,1.14,1.48,0.05,Ala/Pivô,#17
João Pedro,Bauru,6,6.54,1.67,0.0,0.0,0.0,0.67,1.33,50.0,0.33,0.33,100.0,0.17,0.0,0.5,0.0,0.17,0.33,1.67,0.0,1.33,0.33,1.33,0.67,0.0,0.0,0.0,0.5,0.17,0.17,0.5,0.83,0.0,Pivô,#16
Maciel,Flamengo,12,5.28,1.67,0.42,0.92,45.45,0.17,0.67,25.0,0.08,0.33,25.0,0.0,0.17,0.42,0.4,0.08,0.2,1.67,1.25,0.33,0.08,1.92,1.67,0.0,0.0,0.0,0.42,0.08,0.25,1.42,0.5,0.0,Ala/Pivô,#34
Dalaqua,Corinthians,19,7.89,1.63,0.32,1.47,21.43,0.32,0.58,54.55,0.05,0.11,50.0,0.0,0.32,0.32,1.0,0.0,0.0,1.63,0.95,0.63,0.05,0.53,0.37,0.0,0.0,0.0,0.32,0.0,0.11,0.26,1.26,0.0,Armador,#8
L. Brito,VipTech CMB,11,6.3,1.55,0.0,0.36,0.0,0.45,1.55,29.41,0.64,0.82,77.78,0.27,0.27,0.82,0.33,0.64,0.78,1.55,0.0,0.91,0.64,1.0,1.0,0.0,0.0,0.0,0.82,0.0,0.18,0.82,1.18,0.0,Ala/Armador,#6
Kirsten,Pato Basquete,11,6.57,1.55,0.45,1.09,41.67,0.09,0.36,25.0,0.0,0.0,0.0,0.0,0.09,0.18,0.5,0.0,0.0,1.55,1.36,0.18,0.0,1.0,0.45,0.0,0.0,0.0,0.18,0.09,0.27,0.18,0.73,0.0,Ala,#11
Vinícius,Paulistano,2,2.87,1.5,0.5,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.5,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,Armador,#3
Rubinho,KTO/Caxias do Sul,2,1.2,1.5,0.5,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.5,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Pivô,#15
J V Vieira,Cerrado Basquete,2,1.33,1.5,0.5,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.5,1.5,0.0,0.0,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,Armador,#90
Ludwig,Corinthians,8,2.44,1.5,0.0,0.0,0.0,0.63,0.88,71.43,0.25,0.25,100.0,0.0,0.0,0.25,0.0,0.0,0.0,1.5,0.0,1.25,0.25,1.5,0.5,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.38,0.0,Pivô,#14
Dias,Minas,10,4.42,1.5,0.3,1.2,25.0,0.3,0.4,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,1.5,0.9,0.6,0.0,1.6,0.9,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.5,0.0,Ala/Pivô,#31
Ianguas,Paulistano,22,6.36,1.41,0.0,0.0,0.0,0.64,1.14,56.0,0.14,0.27,50.0,0.18,0.09,0.09,1.0,0.14,1.5,1.41,0.0,1.27,0.14,2.36,1.36,0.09,0.0,0.0,0.09,0.0,0.73,0.64,1.36,0.07,Pivô,#20
Gabriel,Fortaleza B. C.,16,5.57,1.38,0.06,0.75,8.33,0.38,1.13,33.33,0.44,0.5,87.5,0.0,0.06,0.0,1.0,0.06,1.0,1.38,0.19,0.75,0.44,0.81,0.75,0.06,0.0,0.0,0.0,0.0,0.25,0.5,0.44,0.14,Ala,#7
Igor,São Paulo,15,7.77,1.2,0.33,1.53,21.74,0.0,0.47,0.0,0.2,0.53,37.5,0.0,1.2,0.27,4.5,0.27,1.0,1.2,1.0,0.0,0.2,1.67,1.27,0.0,0.0,0.0,0.27,0.07,0.0,1.27,0.53,0.0,Armador,#20
D. Penteado,São Paulo,15,8.11,1.13,0.33,1.67,20.0,0.07,0.6,11.11,0.0,0.0,0.0,0.07,0.13,0.33,0.4,0.27,0.8,1.13,1.0,0.13,0.0,1.13,1.8,0.0,0.0,0.0,0.33,0.07,0.4,1.4,1.0,0.0,Ala,#12
Augusto,Minas,9,3.29,1.11,0.0,0.0,0.0,0.44,1.33,33.33,0.22,0.33,66.67,0.0,0.0,0.0,1.0,0.0,1.0,1.11,0.0,0.89,0.22,1.56,1.44,0.0,0.0,0.0,0.0,0.0,0.44,1.0,0.0,1.0,Pivô,#46
Derick,Pato Basquete,24,6.23,1.08,0.08,0.67,12.5,0.42,1.08,38.46,0.0,0.0,0.0,0.04,0.29,0.38,0.78,0.29,0.78,1.08,0.25,0.83,0.0,1.0,0.96,0.0,0.0,0.0,0.38,0.13,0.25,0.71,1.08,0.0,Ala,#8
Adriano Big,KTO/Caxias do Sul,17,6.84,1.06,0.0,0.0,0.0,0.35,1.12,31.58,0.35,0.71,50.0,0.12,0.0,1.29,0.0,0.0,0.0,1.06,0.0,0.71,0.35,0.12,1.47,0.0,0.0,0.0,1.29,0.06,0.94,0.53,1.29,0.0,Pivô,#4
Santana,Pinheiros,2,18.42,1.0,0.0,1.0,0.0,0.5,1.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,1.5,2.5,0.0,0.0,0.0,1.0,0.5,0.5,2.0,1.5,0.0,Ala,#34
André,Paulistano,3,3.84,1.0,0.0,0.0,0.0,0.33,0.33,100.0,0.33,0.67,50.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.67,0.33,1.67,1.0,0.0,0.0,0.0,0.0,0.0,0.33,0.67,0.67,0.0,Pivô,#23
Emanuel Matias,Bauru,11,3.57,0.82,0.09,0.36,25.0,0.18,0.36,50.0,0.18,0.18,100.0,0.0,0.0,0.27,0.0,0.18,0.67,0.82,0.27,0.36,0.18,1.0,0.73,0.0,0.0,0.0,0.27,0.09,0.09,0.64,1.09,0.0,Ala/Pivô,#11
Dida,KTO/Caxias do Sul,7,4.91,0.71,0.0,0.0,0.0,0.29,0.43,66.67,0.14,0.29,50.0,0.0,0.0,0.14,0.0,0.0,0.0,0.71,0.0,0.57,0.14,1.14,0.86,0.0,0.0,0.0,0.14,0.0,0.29,0.57,1.29,0.0,Pivô,#41
Felipe,BRB/Brasília,15,3.77,0.67,0.0,0.33,0.0,0.33,0.53,62.5,0.0,0.27,0.0,0.0,0.27,0.2,1.33,0.13,0.67,0.67,0.0,0.67,0.0,0.53,0.47,0.0,0.0,0.0,0.2,0.07,0.33,0.13,0.33,0.0,Ala/Pivô,#11
Rafael,Paulistano,8,2.68,0.63,0.0,0.0,0.0,0.25,0.63,40.0,0.13,0.25,50.0,0.0,0.0,0.25,0.0,0.13,0.5,0.63,0.0,0.5,0.13,1.13,0.88,0.25,0.0,0.0,0.25,0.13,0.25,0.63,0.5,0.5,Pivô,#12
Felipe,Mogi,18,3.47,0.61,0.0,0.0,0.0,0.28,0.83,33.33,0.06,0.06,100.0,0.17,0.22,0.39,0.57,0.06,0.14,0.61,0.0,0.56,0.06,1.56,1.22,0.39,0.0,0.0,0.39,0.11,0.39,0.83,0.5,0.78,Pivô,#16
Ribeiro,Minas,7,4.4,0.57,0.0,0.43,0.0,0.14,0.43,33.33,0.29,0.29,100.0,0.0,0.0,0.57,0.0,0.43,0.75,0.57,0.0,0.29,0.29,-0.29,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,1.14,0.0,Ala,#12
Cristhyã,Flamengo,4,2.33,0.5,0.0,0.0,0.0,0.25,0.5,50.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.5,0.5,0.0,0.5,0.0,0.25,0.25,0.0,0.0,0.0,0.5,0.25,0.25,0.0,0.25,0.0,Armador,#41
L. Muller,VipTech CMB,4,8.66,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,1.5,33.33,0.0,1.25,0.25,5.0,0.0,0.0,0.5,0.0,0.0,0.5,0.25,0.75,0.0,0.0,0.0,0.25,0.0,0.0,0.75,1.75,0.0,Ala/Armador,#10
Buiú,Paulistano,12,3.08,0.5,0.17,0.5,33.33,0.0,0.5,0.0,0.0,0.17,0.0,0.0,0.0,0.08,0.0,0.17,2.0,0.5,0.5,0.0,0.0,0.0,0.33,0.08,0.0,0.0,0.08,0.0,0.0,0.33,0.58,0.14,Armador,#14
Beto,Paulistano,24,3.91,0.42,0.08,0.63,13.33,0.08,0.29,28.57,0.0,0.08,0.0,0.0,0.42,0.33,1.25,0.25,0.75,0.42,0.25,0.17,0.0,0.5,0.58,0.0,0.0,0.0,0.33,0.08,0.08,0.5,0.58,0.0,Armador,#5
Lukas Josuel,Bauru,5,1.91,0.4,0.0,0.0,0.0,0.2,0.6,33.33,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.4,0.0,Pivô,#12
Rapha,VipTech CMB,13,2.4,0.31,0.0,0.23,0.0,0.08,0.31,25.0,0.15,0.31,50.0,0.0,0.46,0.31,1.5,0.15,0.5,0.31,0.0,0.15,0.15,0.15,0.15,0.0,0.0,0.0,0.31,0.0,0.0,0.15,0.69,0.0,Armador,#1
Vitor,Sesi Franca,7,2.08,0.29,0.0,0.57,0.0,0.14,0.29,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.29,0.0,0.29,0.0,-0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,Ala,#7
P. Costa,BRB/Brasília,1,1.12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Ala/Armador,#1
Daniel,Paulistano,1,3.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,Ala,#0
C. Gonçalves,São Paulo,1,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Armador,#21
Du Klafke,Sesi Franca,1,1.53,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Ala,#14
Reynan,Sesi Franca,1,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Ala/Armador,#29
P. Barros,BRB/Brasília,1,1.12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Pivô,#21
Cestari,Corinthians,2,0.55,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Ala,#22
Ziggy,Mogi,2,4.38,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.5,0.0,Armador,#14
Victorino,Paulistano,2,1.65,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,Ala,#21
Duarte,Cerrado Basquete,2,3.35,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,Ala,#17
Wander Broock,VipTech CMB,3,1.04,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,Ala/Armador,#26
Cadu,BRB/Brasília,3,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,Ala,#10
Victor,Corinthians,3,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Ala,#3
Elvis F.,Pinheiros,3,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.0,Ala/Armador,#17
Marco,KTO/Caxias do Sul,3,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Ala/Armador,#10
Léo Abreu,Sesi Franca,3,1.09,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.67,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,1.0,Ala,#13
Pedro Silva,Mogi,4,2.2,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.25,0.25,0.0,1.0,Armador,#6
Murilo,Pato Basquete,4,4.33,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.25,4.0,0.25,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.5,0.0,Armador,#5
