Pos.,Jogador,Equipe,JO,Min,Pts,3P,2P,LL
159,J. Socas #54,BRB/Brasília,3,18.72,3.33,1.0,1.33,1.0
160,Ambrosino #35,Cerrado Basquete,28,13.85,3.32,1.07,1.93,0.32
161,Aquiles #20,Pato Basquete,31,13.18,3.23,1.06,1.55,0.61
162,Gabriel #8,BRB/Brasília,23,9.47,3.13,1.57,0.96,0.61
163,Eugeniusz #6,KTO/Caxias do Sul,28,9.55,3.07,0.43,1.71,0.93
164,Gemadinha #35,UNIFACISA,26,8.0,3.04,1.62,0.85,0.58
165,Cassiano #5,Mogi,27,10.3,3.04,1.0,1.33,0.7
166,Capela #5,Pinheiros,8,13.3,3.0,0.0,2.25,0.75
167,Jonatan #50,Paulistano,11,6.46,2.82,2.45,0.0,0.36
168,Camargo #13,Flamengo,5,6.72,2.8,0.6,1.6,0.6
169,R. Rachel #20,Flamengo,22,7.75,2.73,1.09,1.36,0.27
170,Vezarinho #10,Corinthians,27,9.04,2.7,1.11,1.19,0.41
171,Danilo #17,BRB/Brasília,19,10.22,2.58,0.79,0.95,0.84
172,M. Douglas #13,Pinheiros,26,10.06,2.54,0.23,2.08,0.23
173,Alexandrino #13,UNIFACISA,19,12.32,2.42,0.0,2.0,0.42
174,Ruan #9,Flamengo,9,5.69,2.33,0.0,1.78,0.56
175,Luis #9,Cerrado Basquete,18,7.99,2.28,1.5,0.44,0.33
176,Edu Marília #11,Sesi Franca,25,5.57,2.12,0.48,1.44,0.2
177,Lobo #9,Fortaleza B. C.,16,5.26,2.06,1.31,0.25,0.5
178,Varejão #50,VipTech CMB,4,1.74,2.0,0.0,1.5,0.5
179,Colina #8,Mogi,10,4.67,2.0,1.2,0.4,0.4
180,Lassance #24,Fortaleza B. C.,16,8.62,2.0,0.75,1.13,0.13
181,Nathan #43,Sesi Franca,6,3.2,1.83,1.5,0.0,0.33
182,Djalo #35,Corinthians,11,5.29,1.82,0.27,1.27,0.27
183,Alexei Patrício #3,Bauru,25,7.03,1.76,0.96,0.48,0.32
184,R. Stabile #17,KTO/Caxias do Sul,29,7.54,1.72,0.62,0.69,0.41
185,João Pedro #16,Bauru,6,6.54,1.67,0.0,1.33,0.33
186,Maciel #34,Flamengo,12,5.28,1.67,1.25,0.33,0.08
187,Dalaqua #8,Corinthians,19,7.89,1.63,0.95,0.63,0.05
188,L. Brito #6,VipTech CMB,11,6.3,1.55,0.0,0.91,0.64
189,Kirsten #11,Pato Basquete,11,6.57,1.55,1.36,0.18,0.0
190,Vinícius #3,Paulistano,2,2.87,1.5,1.5,0.0,0.0
191,Rubinho #15,KTO/Caxias do Sul,2,1.2,1.5,1.5,0.0,0.0
