Pos.,Jogador,Equipe,JO,Min,EF,PTS,RT,AS,BR,TO,DD,TD
46,Lucas Dias #9,Sesi Franca,15,34.14,20.93,24.33,5.27,2.4,0.73,0.67,0.07,0.0
47,T. Faria #1,Pinheiros,1,4.83,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0
48,P. Barros #21,BRB/Brasília,1,1.12,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,P. Costa #1,BRB/Brasília,1,1.12,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Rubinho #15,KTO/Caxias do Sul,1,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Daniel #0,Paulistano,1,3.3,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Cadu #10,BRB/Brasília,1,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Jamison #6,Pinheiros,1,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,André #23,Paulistano,1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Du Klafke #14,Sesi Franca,1,1.53,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Kirsten #11,Pato Basquete,1,2.75,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Léo Abreu #13,Sesi Franca,2,1.6,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Cestari #22,Corinthians,2,0.55,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,João Vitor #0,UNIFACISA,2,14.64,6.0,3.5,4.5,1.0,1.0,0.5,0.0,0.0
60,Vinícius #3,Paulistano,2,2.87,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0
61,Lukas Josuel #12,Bauru,2,1.26,1.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0
62,Capela #5,Pinheiros,2,1.47,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Victorino #21,Paulistano,2,1.65,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
64,Alexandrino #13,UNIFACISA,2,8.53,4.5,3.0,2.0,0.0,1.0,0.0,0.0,0.0
65,Ziggy #14,Mogi,2,4.38,0.0,0.0,1.5,0.0,0.5,0.0,0.0,0.0
66,Ruan #9,Flamengo,3,2.7,1.67,1.67,1.33,0.0,0.0,0.0,0.0,0.0
67,J. Socas #54,BRB/Brasília,3,18.72,4.33,3.33,3.0,2.33,0.67,0.0,0.0,0.0
68,Vitor #7,Sesi Franca,3,1.51,-0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Green #44,Sesi Franca,3,21.33,9.67,9.67,3.33,1.67,0.33,0.0,0.0,0.0
70,Victor #3,Corinthians,3,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Colina #8,Mogi,3,4.84,1.67,1.67,0.33,0.0,0.0,0.0,0.0,0.0
72,Rapha #1,VipTech CMB,3,1.76,-0.67,0.33,0.0,0.33,0.0,0.0,0.0,0.0
73,Smith #10,Sesi Franca,3,15.18,1.33,3.0,1.33,0.67,0.33,0.0,0.0,0.0
74,D. Souza #12,Pinheiros,3,8.47,3.67,5.0,2.0,0.0,0.0,0.33,0.0,0.0
75,Augusto #46,Minas,3,4.72,0.33,0.33,1.33,0.0,0.0,0.0,0.0,0.0
76,Elvis F. #17,Pinheiros,3,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,Dias #31,Minas,3,6.32,2.33,2.0,1.33,0.0,0.33,0.0,0.0,0.0
78,Ribeiro #12,Minas,4,7.15,-0.25,1.0,0.0,0.0,0.75,0.0,0.0,0.0
79,Pedro Silva #6,Mogi,4,2.2,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.0
80,Dida #41,KTO/Caxias do Sul,4,7.29,2.0,1.25,1.0,0.0,0.0,0.0,0.0,0.0
81,Cristhyã #41,Flamengo,4,2.33,0.25,0.5,0.25,0.0,0.25,0.0,0.0,0.0
82,Djalo #35,Corinthians,4,2.77,0.25,0.75,0.5,0.0,0.0,0.0,0.0,0.0
83,L. Muller #10,VipTech CMB,4,8.66,0.25,0.5,0.75,1.25,0.0,0.0,0.0,0.0
84,Murilo #5,Pato Basquete,4,4.33,1.0,0.0,0.5,1.0,0.25,0.0,0.0,0.0
85,Arthur #4,BRB/Brasília,5,21.03,2.8,5.8,1.0,1.0,1.2,0.0,0.0,0.0
86,Lobo #9,Fortaleza B. C.,5,3.63,0.4,0.6,0.4,0.0,0.2,0.0,0.0,0.0
87,Felipe #11,BRB/Brasília,5,4.32,0.4,0.4,0.2,0.8,0.2,0.0,0.0,0.0
88,Nathan #43,Sesi Franca,5,3.42,3.0,2.2,0.8,0.2,0.2,0.0,0.0,0.0
89,D. Penteado #12,São Paulo,5,3.64,-0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0
90,Lassance #24,Fortaleza B. C.,5,6.17,1.6,1.0,0.4,0.8,0.6,0.0,0.0,0.0
91,Gemerson #6,BRB/Brasília,5,27.11,11.2,11.0,4.8,1.6,0.2,0.0,0.0,0.0
