Pos.,Jogador,Equipe,JO,Min,RT,RO,RD
55,Alex Garcia #10,Bauru,34,31.36,4.29,0.59,3.71
56,Elinho #5,Sesi Franca,31,31.48,4.23,0.48,3.74
57,Fabricio #10,Mogi,35,26.16,4.17,1.06,3.11
58,L. Cauê #23,Corinthians,32,14.98,4.16,1.22,2.94
59,Fuller #14,Cerrado Basquete,13,31.74,4.15,1.0,3.15
60,Rafa #16,UNIFACISA,33,20.01,4.15,1.55,2.61
61,Márcio #3,Sesi Franca,30,16.56,4.13,1.03,3.1
62,Gruber #20,Mogi,34,21.68,4.09,0.97,3.12
63,Diego #15,Bauru,34,19.89,4.09,1.03,3.06
64,Pierotti #4,VipTech CMB,20,31.97,4.05,0.75,3.3
65,Renato #15,Corinthians,27,23.73,4.04,1.56,2.48
66,Nogueira #92,Fortaleza B. C.,10,17.62,4.0,0.8,3.2
67,Douglas Santos #0,Mogi,29,19.68,3.93,1.17,2.76
68,Mogi #19,Mogi,28,17.42,3.89,1.39,2.5
69,Alexey Borges #8,Bauru,29,32.85,3.86,0.79,3.07
70,Luizinho #11,VipTech CMB,30,19.61,3.77,1.17,2.6
71,B. Fiorotto #21,Cerrado Basquete,16,15.74,3.75,0.88,2.88
72,Leonardo #21,UNIFACISA,12,13.88,3.67,1.0,2.67
73,Sérgio #1,Cerrado Basquete,30,14.9,3.67,1.57,2.1
74,Gui Abreu #33,Sesi Franca,30,18.88,3.6,1.17,2.43
75,Johnson Sr #22,Minas,30,26.5,3.6,0.57,3.03
76,I. Thornton #0,Pato Basquete,28,31.7,3.57,1.39,2.18
77,Crescenzi #8,Cerrado Basquete,30,20.33,3.57,0.7,2.87
78,Balbi #6,Flamengo,25,23.45,3.52,0.64,2.88
79,Nehemias #7,UNIFACISA,33,22.65,3.52,0.45,3.06
80,Matheusinho #9,Pato Basquete,30,25.22,3.47,0.67,2.8
81,Martinez #25,Flamengo,17,19.08,3.41,0.59,2.82
82,David Jackson #32,Minas,27,28.77,3.41,0.59,2.81
83,Humberto #19,Pinheiros,26,31.63,3.35,0.54,2.81
84,W. Sena #21,Pinheiros,26,14.21,3.35,1.5,1.85
85,Shamell #8,São Paulo,29,29.79,3.31,0.66,2.66
86,Buffat #9,Pinheiros,23,23.39,3.3,0.74,2.57
87,Fuzaro #6,Sesi Franca,34,27.15,3.24,0.44,2.79
88,Alex #13,Cerrado Basquete,26,15.25,3.23,1.23,2.0
89,Davi #5,Minas,32,24.87,3.22,0.41,2.81
