Pos.,Jogador,Equipe,JO,Min,ET,VI,ER
136,Servelin #3,Pato Basquete,29,19.62,0.86,0.14,0.86
137,Ambrosino #35,Cerrado Basquete,28,13.85,0.86,0.29,0.86
138,Mogi #19,Mogi,28,17.42,0.86,0.14,0.86
139,Rafa #16,UNIFACISA,33,20.01,0.85,0.21,0.85
140,W. Sena #21,Pinheiros,26,14.21,0.85,0.08,0.85
141,Leonardo #21,UNIFACISA,12,13.88,0.83,0.0,0.83
142,Dikembe #20,Bauru,35,13.64,0.83,0.14,0.83
143,L. Brito #6,VipTech CMB,11,6.3,0.82,0.0,0.82
144,David Jackson #32,Minas,27,28.77,0.81,0.04,0.81
145,Alex #10,Fortaleza B. C.,26,18.78,0.77,0.12,0.77
146,Rafa Moreira #9,Minas,28,14.85,0.75,0.11,0.75
147,M. Pajé #25,VipTech CMB,30,22.68,0.73,0.0,0.73
148,Gabriel #12,Pato Basquete,11,12.91,0.73,0.0,0.73
149,Larry Taylor #4,Bauru,35,22.94,0.71,0.09,0.71
150,Martinez #25,Flamengo,17,19.08,0.71,0.06,0.71
151,Magna #19,VipTech CMB,30,14.03,0.7,0.03,0.7
152,Adyel #4,Sesi Franca,32,10.71,0.69,0.06,0.69
153,Aquiles #20,Pato Basquete,31,13.18,0.68,0.06,0.68
154,Hubner #77,Sesi Franca,35,18.22,0.66,0.03,0.66
155,Castellon #8,VipTech CMB,29,19.6,0.66,0.1,0.66
156,Pezão #21,VipTech CMB,20,10.81,0.65,0.0,0.65
157,Lobo #9,Fortaleza B. C.,16,5.26,0.63,0.13,0.63
158,Jhonatan #7,Flamengo,29,17.94,0.62,0.03,0.62
159,Schneider #18,Fortaleza B. C.,23,16.22,0.61,0.17,0.61
160,Gabriel #8,BRB/Brasília,23,9.47,0.61,0.0,0.61
161,Tom #40,VipTech CMB,28,11.19,0.61,0.07,0.61
162,Vezaro #10,UNIFACISA,33,18.98,0.61,0.09,0.61
163,Barbosa #32,Paulistano,29,17.2,0.59,0.28,0.59
164,Munford #14,Pinheiros,26,24.06,0.58,0.0,0.58
165,Ribeiro #12,Minas,7,4.4,0.57,0.0,0.57
166,R. Stabile #17,KTO/Caxias do Sul,29,7.54,0.55,0.03,0.55
167,Doria #7,Paulistano,33,14.02,0.55,0.15,0.55
168,Rodrigues #16,Pato Basquete,30,9.05,0.53,0.07,0.53
169,Pedro Nunes #24,Flamengo,29,14.53,0.52,0.1,0.52
170,Ziggy #14,Mogi,2,4.38,0.5,0.0,0.5
171,Pedro Silva #6,Mogi,4,2.2,0.5,0.0,0.5
172,Cristhyã #41,Flamengo,4,2.33,0.5,0.25,0.5
173,João Pedro #16,Bauru,6,6.54,0.5,0.17,0.5
174,T. Faria #1,Pinheiros,6,15.14,0.5,0.17,0.5
175,Demétrio #71,Flamengo,30,19.76,0.5,0.13,0.5
176,Vezarinho #10,Corinthians,27,9.04,0.48,0.11,0.48
177,Alexei Patrício #3,Bauru,25,7.03,0.48,0.08,0.48
178,M. Douglas #13,Pinheiros,26,10.06,0.46,0.08,0.46
179,Jonatan #50,Paulistano,11,6.46,0.45,0.0,0.45
180,Edu Marília #11,Sesi Franca,25,5.57,0.44,0.08,0.44
