pos,jogador,equipe,jo,min,ef,pts,rt,as,br,to,dd,td
129,Gruber #20,Mogi,14,30.8,14.5,16.14,4.86,1.5,1.29,1.36,0.0,0.0
130,Pezão #21,UNIFACISA,14,4.21,1.93,1.14,1.29,0.14,0.07,0.0,0.0,0.0
131,Aquiles #20,Pato Basquete,16,5.7,1.5,1.63,0.94,0.19,0.25,0.06,0.0,0.0
132,Gabriel #8,Brasília,16,5.7,0.81,1.25,0.56,0.31,0.38,0.0,0.0,0.0
133,Malachias #13,Bauru,16,7.4,2.06,1.44,1.44,0.25,0.31,0.19,0.0,0.0
134,Jonatan #50,Paulistano,16,4.12,0.88,1.31,0.13,0.06,0.0,0.0,0.0,0.0
135,Márcio #3,Sesi Franca,16,3.65,1.56,1.44,0.81,0.13,0.0,0.06,0.0,0.0
136,Queiros #3,Minas,17,4.78,1.24,1.53,0.76,0.06,0.0,0.0,0.0,0.0
137,Hubner #77,Sesi Franca,17,14.61,8.47,6.53,4.06,0.71,0.35,0.41,0.0,0.0
138,Thiaguinho #2,Rio Claro,17,7.15,2.0,1.65,0.76,0.41,0.24,0.0,0.0,0.0
139,Lucas #10,Mogi,17,12.89,4.59,5.41,1.12,1.18,0.35,0.06,0.0,0.0
140,Leandro #6,Pato Basquete,18,8.92,2.06,1.72,1.5,0.72,0.22,0.0,0.0,0.0
141,Marcelão #5,Brasília,18,7.61,4.11,3.06,2.33,0.17,0.06,0.06,0.0,0.0
142,Jackson #13,Botafogo,18,1.43,-0.06,0.11,0.06,0.06,0.11,0.0,0.0,0.0
143,Gui Abreu #33,Sesi Franca,19,6.69,3.0,2.68,0.89,0.16,0.11,0.11,0.0,0.0
144,Guga #0,São José,19,7.41,1.32,1.68,0.37,0.53,0.26,0.0,0.0,0.0
145,Jackson Jr #8,Minas,19,12.17,2.95,4.68,1.32,0.42,0.32,0.11,0.0,0.0
146,Colina #8,Mogi,20,3.11,1.35,1.25,0.4,0.15,0.0,0.0,0.0,0.0
147,Coelho #10,Botafogo,20,30.08,13.6,11.7,3.05,4.65,1.3,0.05,0.0,0.0
148,Parodi #21,Sesi Franca,20,22.53,13.1,10.5,3.05,4.0,1.1,0.1,0.0,0.0
149,Humberto #19,Corinthians,20,20.5,6.2,5.4,3.05,1.4,0.75,0.1,0.0,0.0
150,Pedro Nunes #1,Flamengo,21,6.98,1.48,1.33,1.14,0.29,0.19,0.0,0.0,0.0
151,Cassiano #5,São Paulo,21,4.12,0.43,1.0,0.62,0.1,0.05,0.0,0.0,0.0
152,Murilo #21,São Paulo,21,14.54,6.29,5.67,3.33,0.71,0.24,0.29,0.0,0.0
153,Coimbra #44,Pato Basquete,21,16.69,6.1,5.05,3.71,0.62,0.48,0.19,0.0,0.0
154,Freddie #35,Botafogo,22,14.88,6.73,5.09,3.59,0.68,0.59,0.27,0.0,0.0
155,Shilton #66,Minas,22,16.66,6.68,4.73,3.95,0.41,0.36,0.05,0.0,0.0
156,Ruivo #4,Paulistano,22,17.42,5.86,4.41,1.91,2.68,0.45,0.0,0.0,0.0
157,Gui Bento #77,Brasília,22,10.83,1.77,2.73,0.95,0.32,0.45,0.09,0.0,0.0
158,Jhonatan #7,Flamengo,22,18.25,5.32,5.05,2.05,0.95,0.55,0.0,0.0,0.0
159,Barbosa #32,Paulistano,22,4.49,0.86,0.77,0.91,0.27,0.05,0.0,0.0,0.0
160,Black #7,Flamengo,23,7.77,3.3,3.52,1.83,0.22,0.13,0.09,0.0,0.0
161,Fabricio #10,Mogi,23,29.74,10.74,8.61,4.96,1.22,0.87,0.13,0.0,0.0
162,Jamaal #5,Botafogo,23,30.87,13.96,13.78,3.04,4.74,0.65,0.09,0.0,0.0
163,Gabriel #7,Fortaleza B. C.,23,6.45,1.39,1.57,0.35,0.26,0.35,0.0,0.0,0.0
164,Coleman #9,Paulistano,23,24.3,8.22,11.0,3.0,0.91,0.61,0.04,0.0,0.0
165,Vinicius #11,Fortaleza B. C.,23,24.25,9.87,9.7,4.39,1.3,0.26,0.61,0.0,0.0
166,Arthur #4,Brasília,23,28.36,14.04,14.48,3.87,1.57,0.87,0.17,0.0,0.0
167,Davi #5,Minas,23,27.85,9.13,7.87,2.43,2.83,0.87,0.0,0.0,0.0
