Pos.,Jogador,Equipe,JO,Min,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN
67,Smith #10,Sesi Franca,17,24.34,9.47,1.94,3.94,49.25,1.0,2.35,42.5,1.65,1.94,84.85,0.0
68,Paranhos #24,UNIFACISA,25,23.88,9.44,0.0,0.0,0.0,4.2,8.48,49.53,1.04,1.88,55.32,0.24
69,Arthur #4,BRB/Brasília,20,22.87,9.4,0.9,3.05,29.51,2.3,4.55,50.55,2.1,2.45,85.71,0.0
70,Caio Torres #13,BRB/Brasília,28,23.42,9.39,0.93,2.86,32.5,2.64,5.11,51.75,1.32,1.82,72.55,0.0
71,Buffat #9,Pinheiros,23,23.39,9.35,1.3,3.61,36.14,1.96,4.43,44.12,1.52,2.0,76.09,0.09
72,Crescenzi #8,Cerrado Basquete,30,20.33,9.3,1.43,4.43,32.33,2.07,3.57,57.94,0.87,1.1,78.79,0.0
73,Vitão #10,Paulistano,30,25.01,9.23,1.47,4.27,34.38,1.83,4.37,41.98,1.17,1.47,79.55,0.13
74,Munford #14,Pinheiros,26,24.06,9.08,0.38,1.65,23.26,3.27,6.58,49.71,1.38,1.73,80.0,0.0
75,Mathias #12,Fortaleza B. C.,30,25.63,9.07,0.2,0.8,25.0,3.73,6.03,61.88,1.0,1.63,61.22,0.23
76,Deryk #9,Paulistano,33,25.92,8.94,1.3,4.76,27.39,2.12,4.0,53.03,0.79,1.18,66.67,0.0
77,Fabricio #10,Mogi,35,26.16,8.91,1.66,4.63,35.8,1.46,3.29,44.35,1.03,1.37,75.0,0.0
78,Scheuer #14,Pato Basquete,32,23.94,8.88,0.47,1.59,29.41,2.75,4.94,55.7,1.97,2.91,67.74,0.59
79,Lucão #31,VipTech CMB,30,20.23,8.67,0.0,0.0,0.0,4.0,6.87,58.25,0.67,1.37,48.78,0.23
80,Arthur #36,Corinthians,28,22.72,8.64,0.96,2.36,40.91,2.14,4.68,45.8,1.46,1.75,83.67,0.0
81,Mineiro #12,Flamengo,30,24.38,8.63,1.0,3.1,32.26,2.3,3.93,58.47,1.03,1.67,62.0,0.37
82,G. Basílio #10,Pinheiros,27,23.0,8.59,1.44,4.15,34.82,1.56,3.74,41.58,1.15,1.44,79.49,0.0
83,Shilton #66,KTO/Caxias do Sul,26,29.26,8.54,0.0,0.04,0.0,3.31,5.96,55.48,1.92,3.81,50.51,0.0
84,Jimmy #18,Paulistano,33,25.29,8.52,1.55,4.76,32.48,1.61,3.94,40.77,0.67,0.88,75.86,0.0
85,Demétrio #71,Flamengo,30,19.76,8.43,0.97,3.2,30.21,2.27,3.57,63.55,1.0,1.5,66.67,0.57
86,Gabriel Jaú #25,Bauru,31,19.33,8.42,0.06,0.52,12.5,3.1,5.19,59.63,2.03,3.1,65.63,0.29
87,Davi #5,Minas,32,24.87,8.41,1.25,3.56,35.09,1.5,3.19,47.06,1.66,2.06,80.3,0.0
88,Gui Santos #11,Minas,32,20.94,8.34,0.81,2.09,38.81,2.06,3.88,53.23,1.78,3.0,59.38,0.25
89,Pastor #9,UNIFACISA,33,21.27,8.21,1.09,2.82,38.71,1.91,3.33,57.27,1.12,1.52,74.0,0.09
