pos,jogador,equipe,jo,min,br,er,b_e
212,Marcos #35,Minas,2,0.77,0.0,0.0,1.0
213,Dias #31,Minas,3,1.0,0.0,0.0,1.0
214,Veloso #13,Brasília,3,1.36,0.0,0.67,0.0
215,R. Rachel #20,Flamengo,3,0.81,0.0,0.0,1.0
216,D. Souza #12,Pinheiros,3,1.18,0.0,0.0,1.0
217,Bruninho #9,Fortaleza B. C.,3,1.29,0.0,0.33,0.0
218,Elvis F. #17,Pinheiros,3,0.38,0.0,0.0,1.0
219,Maciel #34,Flamengo,3,1.26,0.0,0.0,1.0
220,J. Gabriel #23,Fortaleza B. C.,4,1.13,0.0,0.75,0.0
221,Buiú #14,Paulistano,4,0.65,0.0,0.0,1.0
222,Matheusinho #9,Flamengo,4,3.84,0.0,0.0,1.0
223,Suassuna #20,Brasília,4,2.42,0.0,0.0,1.0
224,Edu Marília #11,Sesi Franca,4,0.63,0.0,0.0,1.0
225,Felipe #16,Mogi,6,2.7,0.0,0.33,0.0
226,Gabriel #2,Pinheiros,6,1.54,0.0,0.5,0.0
227,Bruno #4,Rio Claro,9,4.11,0.0,0.0,1.0
228,Mendes #30,Bauru,9,7.54,0.0,0.44,0.0
229,Jonatan #50,Paulistano,16,4.12,0.0,0.13,0.0
230,Márcio #3,Sesi Franca,16,3.65,0.0,0.25,0.0
231,Queiros #3,Minas,17,4.78,0.0,0.18,0.0
232,Colina #8,Mogi,20,3.11,0.0,0.1,0.0
