Pos.,Jogador,Equipe,JO,Min,TO,FC,T/FC
199,Languas #20,Paulistano,12,7.83,0.0,1.75,0.0
200,Barnes #34,UNIFACISA,13,21.96,0.0,1.77,0.0
201,Fischer #1,Corinthians,13,24.33,0.0,2.69,0.0
202,Fúlvio #2,Mogi,13,31.17,0.0,1.62,0.0
203,Eugeniusz #6,KTO/Caxias do Sul,14,8.5,0.0,2.36,0.0
204,Queiros #3,Minas,14,14.97,0.0,1.29,0.0
205,B. Fiorotto #21,Cerrado Basquete,14,16.84,0.0,2.14,0.0
206,Gemadinha #35,UNIFACISA,14,10.55,0.0,1.79,0.0
207,Davi #5,Minas,14,24.74,0.0,2.71,0.0
208,Ruivo #4,Paulistano,15,30.92,0.0,1.4,0.0
209,I. Thornton #0,Pato Basquete,15,31.86,0.0,1.27,0.0
210,Frierson #3,VipTech CMB,15,21.18,0.0,1.67,0.0
211,Larry Taylor #4,Bauru,15,27.22,0.0,1.53,0.0
212,Alexei Patrício #3,Bauru,15,8.16,0.0,1.4,0.0
213,Shamell #8,São Paulo,15,29.28,0.0,1.53,0.0
214,Vitão #10,Paulistano,15,27.39,0.0,2.13,0.0
215,G. Basílio #10,Pinheiros,15,24.4,0.0,2.33,0.0
216,Lessa #32,Mogi,15,25.81,0.0,3.33,0.0
217,Yago #2,Flamengo,15,25.55,0.0,2.0,0.0
218,Chuzito #8,Flamengo,15,25.42,0.0,1.6,0.0
219,Vezaro #10,UNIFACISA,15,17.46,0.0,1.67,0.0
