Pos.,Jogador,Equipe,JO,Min,BR,ER,B/E
172,Gemerson #6,BRB/Brasília,5,27.11,0.2,1.2,0.17
173,Márcio #3,Sesi Franca,10,16.82,0.2,1.2,0.17
174,Emanuel Matias #11,Bauru,10,3.9,0.2,0.3,0.67
175,Sérgio #1,Cerrado Basquete,15,11.78,0.2,1.07,0.19
176,Edu Marília #11,Sesi Franca,11,5.48,0.18,0.55,0.33
177,Maciel #34,Flamengo,6,4.04,0.17,0.67,0.25
178,Luis #9,Cerrado Basquete,6,4.04,0.17,0.17,1.0
179,João Pedro #16,Bauru,6,6.54,0.17,0.5,0.33
180,Languas #20,Paulistano,12,7.83,0.17,0.17,1.0
181,M. Douglas #13,Pinheiros,13,7.17,0.15,0.08,2.0
182,Marcelão #5,BRB/Brasília,15,15.79,0.13,0.93,0.14
183,Lucão #31,VipTech CMB,15,17.99,0.13,1.0,0.13
184,Rafael #12,Paulistano,8,2.68,0.13,0.25,0.5
185,P. Barros #21,BRB/Brasília,1,1.12,0.0,0.0,1.0
186,P. Costa #1,BRB/Brasília,1,1.12,0.0,0.0,1.0
187,Rubinho #15,KTO/Caxias do Sul,1,1.3,0.0,0.0,1.0
188,Daniel #0,Paulistano,1,3.3,0.0,1.0,0.0
189,Cadu #10,BRB/Brasília,1,0.07,0.0,0.0,1.0
190,Jamison #6,Pinheiros,1,0.32,0.0,0.0,1.0
191,André #23,Paulistano,1,0.8,0.0,0.0,1.0
192,Du Klafke #14,Sesi Franca,1,1.53,0.0,0.0,1.0
193,Kirsten #11,Pato Basquete,1,2.75,0.0,0.0,1.0
194,Léo Abreu #13,Sesi Franca,2,1.6,0.0,0.5,0.0
195,Cestari #22,Corinthians,2,0.55,0.0,0.0,1.0
196,Vinícius #3,Paulistano,2,2.87,0.0,0.0,1.0
197,Lukas Josuel #12,Bauru,2,1.26,0.0,0.0,1.0
198,Capela #5,Pinheiros,2,1.47,0.0,0.5,0.0
199,Victorino #21,Paulistano,2,1.65,0.0,0.0,1.0
200,Ruan #9,Flamengo,3,2.7,0.0,0.0,1.0
201,Vitor #7,Sesi Franca,3,1.51,0.0,0.0,1.0
202,Victor #3,Corinthians,3,1.02,0.0,0.0,1.0
203,Colina #8,Mogi,3,4.84,0.0,0.0,1.0
204,Rapha #1,VipTech CMB,3,1.76,0.0,0.33,0.0
205,D. Souza #12,Pinheiros,3,8.47,0.0,0.67,0.0
206,Augusto #46,Minas,3,4.72,0.0,0.0,1.0
207,Elvis F. #17,Pinheiros,3,1.04,0.0,0.0,1.0
208,Dida #41,KTO/Caxias do Sul,4,7.29,0.0,0.0,1.0
209,Djalo #35,Corinthians,4,2.77,0.0,0.0,1.0
210,L. Muller #10,VipTech CMB,4,8.66,0.0,0.25,0.0
211,D. Penteado #12,São Paulo,5,3.64,0.0,0.0,1.0
212,Ronald #6,Minas,6,11.54,0.0,1.0,0.0
213,Ludwig #14,Corinthians,7,2.27,0.0,0.14,0.0
214,Gabriel #7,Fortaleza B. C.,7,6.85,0.0,0.0,1.0
215,Felipe #16,Mogi,11,3.86,0.0,0.27,0.0
216,Adriano Big #4,KTO/Caxias do Sul,11,7.59,0.0,1.64,0.0
217,Dalaqua #8,Corinthians,12,9.5,0.0,0.42,0.0
218,B. Fiorotto #21,Cerrado Basquete,14,16.84,0.0,1.71,0.0
219,Kurtz #34,Mogi,15,10.93,0.0,1.0,0.0
